Date,SI=F,SLV,Silver
2019-01-18,15.329999923706055,14.369999885559082,15.345
2019-01-22,15.258999824523926,14.390000343322756,15.335
2019-01-23,15.31700038909912,14.420000076293945,15.354
2019-01-24,15.23799991607666,14.359999656677244,15.318
2019-01-25,15.638999938964846,14.739999771118164,15.747
2019-01-28,15.708999633789062,14.789999961853027,15.748
2019-01-29,15.78600025177002,14.880000114440918,15.844
2019-01-30,15.880000114440918,15.050000190734865,16.065
2019-01-31,16.02199935913086,15.050000190734865,16.066
2019-02-01,15.880000114440918,14.920000076293945,15.913
2019-02-04,15.836999893188475,14.880000114440918,15.865
2019-02-05,15.789999961853027,14.869999885559082,15.855
2019-02-06,15.656000137329102,14.68000030517578,15.675
2019-02-07,15.675000190734865,14.770000457763672,15.735
2019-02-08,15.77299976348877,14.829999923706055,15.827
2019-02-11,15.656999588012695,14.720000267028807,15.707
2019-02-12,15.65999984741211,14.729999542236328,15.708
2019-02-13,15.62399959564209,14.59000015258789,15.567
2019-02-14,15.5,14.649999618530273,15.626
2019-02-15,15.722999572753904,14.81999969482422,15.778
2019-02-19,15.946999549865724,15.020000457763672,15.99
2019-02-20,16.156999588012695,15.06999969482422,16.055
2019-02-21,15.791000366210938,14.829999923706055,15.816
2019-02-22,15.907999992370605,14.949999809265135,15.919
2019-02-25,15.824999809265135,14.899999618530273,15.890999999999998
2019-02-26,15.82699966430664,14.9399995803833,15.936
2019-02-27,15.67199993133545,14.75,15.741
2019-02-28,15.538000106811525,14.630000114440918,15.606
2019-03-01,15.168999671936035,14.199999809265135,15.213
2019-03-04,15.017000198364258,14.149999618530273,15.084
2019-03-05,15.020000457763672,14.199999809265135,15.132
2019-03-06,15.003000259399414,14.149999618530273,15.081
2019-03-07,14.960000038146973,14.09000015258789,15.026
2019-03-08,15.272000312805176,14.40999984741211,15.33
2019-03-11,15.196999549865724,14.369999885559082,15.33
2019-03-12,15.338000297546387,14.479999542236328,15.45
2019-03-13,15.380999565124512,14.510000228881836,15.46
2019-03-14,15.10099983215332,14.239999771118164,15.19
2019-03-15,15.253000259399414,14.329999923706055,15.288
2019-03-18,15.25100040435791,14.390000343322756,15.46
2019-03-19,15.300999641418455,14.399999618530273,15.37
2019-03-20,15.244999885559082,14.539999961853027,15.455
2019-03-21,15.371999740600586,14.5,15.475
2019-03-22,15.345000267028807,14.449999809265135,15.425
2019-03-25,15.506999969482422,14.5600004196167,15.545
2019-03-26,15.371000289916992,14.470000267028807,15.435
2019-03-27,15.23900032043457,14.31999969482422,15.295
2019-03-28,14.920999526977539,14.06999969482422,15.015
2019-03-29,15.0600004196167,14.18000030517578,15.145
2019-04-01,15.050999641418455,14.149999618530273,15.115
2019-04-02,15.017999649047852,14.15999984741211,15.125
2019-04-03,15.059000015258787,14.199999809265135,15.145
2019-04-04,15.041000366210938,14.220000267028807,15.155
2019-04-05,15.04300022125244,14.170000076293945,15.105
2019-04-08,15.17300033569336,14.3100004196167,15.255
2019-04-09,15.16800022125244,14.279999732971193,15.225
